"Data","Categoria","Produto","Estoque","Quantidade","Unidade","CustoUnitario","Venda","MargemUnit","MargemPercent","ValorInvestido","Observacao"
"2026-06-03","Carnes Principais","Picanha Festeja","28 peças","28","peças","91,36","109,9","18,54","20,29","2558,08",""
"2026-06-03","Carnes Principais","Chorizo BBQ Secrets","12 peças","12","peças","77,14","89,9","12,76","16,54","925,68",""
"2026-06-03","Carnes Principais","Ancho","Não informado","","","61","79","18","29,51","","Estoque não informado"
"2026-06-03","Carnes Principais","Contra-filé","Não entrou esta semana","","","64","85","21","32,81","","Não entrou esta semana"
"2026-06-03","Complementos","Linguiça Costela Maturatta","11 pacotes","11","pacotes","9,9","15","5,1","51,52","108,9",""
"2026-06-03","Complementos","Pão de Alho Zinho","13 unidades","13","unidades","9,9","15","5,1","51,52","128,7",""
"2026-06-03","Complementos","Pão de Alho Santa Massa","1 unidade","1","unidade","11","18","7","63,64","11",""
"2026-06-03","Complementos","Queijo Coalho Quatá","0 esgotado","0","unidades","18,6","24,9","6,3","33,87","0","Esgotado"
"2026-06-03","Don Matteo","Espeto Medalhão","20 pacotes","20","pacotes","15,71","19,9","4,19","26,67","314,2",""
"2026-06-03","Don Matteo","Tulipa Temperada","9 pacotes","9","pacotes","19,39","24,9","5,51","28,42","174,51",""
"2026-06-03","Don Matteo","Espeto Panceta Temperada","1 pacote","1","pacote","15,55","19,9","4,35","27,97","15,55",""
"2026-06-03","Don Matteo","Torresmo de Rolo","7 pacotes","7","pacotes","14","19,9","5,9","42,14","98",""
